VendorName,Brand,Category,PurchasePrice,ActualPrice,QuantitySold,QuantityOnHand,TotalSales,TotalPurchaseCost,GrossProfit,PurchaseDate,Month,MonthName,Quarter,Year,ProfitMargin,MarkupRatio
Apex Supplies,Brand A,Furniture,454.15,787.08,138,370,108617.04,62672.7,45944.34,2023-12-28,12,Dec,4,2023,42.3,1.733
Junction LLC,Brand J,Food & Beverage,90.3,192.77,65,429,12530.05,5869.5,6660.55,2023-12-02,12,Dec,4,2023,53.16,2.135
FairWay Corp.,Brand F,Electronics,324.98,669.82,42,161,28132.44,13649.16,14483.28,2023-07-11,7,Jul,3,2023,51.48,2.061
Icon Wholesale,Brand I,Electronics,406.83,911.75,85,356,77498.75,34580.55,42918.2,2023-09-29,9,Sep,3,2023,55.38,2.241
Apex Supplies,Brand A,Food & Beverage,474.22,1104.19,137,339,151274.03,64968.14,86305.89,2023-12-10,12,Dec,4,2023,57.05,2.328
Junction LLC,Brand J,Sporting Goods,175.3,382.58,188,60,71925.04,32956.4,38968.64,2023-03-28,3,Mar,1,2023,54.18,2.182
Cardinal Goods,Brand C,Electronics,365.24,745.17,111,124,82713.87,40541.64,42172.23,2023-03-06,3,Mar,1,2023,50.99,2.04
Global Mart,Brand G,Office Supplies,274.02,313.59,15,455,4703.85,4110.3,593.55,2023-07-11,7,Jul,3,2023,12.62,1.144
Delta Traders,Brand D,Furniture,39.71,73.42,185,70,13582.7,7346.35,6236.35,2023-01-07,1,Jan,1,2023,45.91,1.849
Icon Wholesale,Brand I,Health & Beauty,348.1,401.28,69,325,27688.32,24018.9,3669.42,2023-02-17,2,Feb,1,2023,13.25,1.153
Cardinal Goods,Brand C,Electronics,348.15,776.83,105,394,81567.15,36555.75,45011.4,2023-07-31,7,Jul,3,2023,55.18,2.231
Eagle Exports,Brand E,Furniture,466.0,721.84,150,363,108276.0,69900.0,38376.0,2023-05-29,5,May,2,2023,35.44,1.549
Cardinal Goods,Brand C,Clothing,253.68,478.8,64,465,30643.2,16235.52,14407.68,2023-11-09,11,Nov,4,2023,47.02,1.887
Global Mart,Brand G,Furniture,122.82,183.15,41,242,7509.15,5035.62,2473.53,2023-06-09,6,Jun,2,2023,32.94,1.491
Eagle Exports,Brand E,Health & Beauty,31.84,69.9,71,489,4962.9,2260.64,2702.26,2023-05-18,5,May,2,2023,54.45,2.195
Icon Wholesale,Brand I,Furniture,213.66,500.2,56,248,28011.2,11964.96,16046.24,2023-04-13,4,Apr,2,2023,57.29,2.341
Global Mart,Brand G,Food & Beverage,157.94,261.88,151,220,39543.88,23848.94,15694.94,2023-03-25,3,Mar,1,2023,39.69,1.658
Blue Ridge Co.,Brand B,Health & Beauty,382.93,883.84,25,472,22096.0,9573.25,12522.75,2023-08-05,8,Aug,3,2023,56.67,2.308
Delta Traders,Brand D,Sporting Goods,183.59,270.59,105,446,28411.95,19276.95,9135.0,2023-10-29,10,Oct,4,2023,32.15,1.474
Icon Wholesale,Brand I,Clothing,475.04,878.12,134,20,117668.08,63655.36,54012.72,2023-04-30,4,Apr,2,2023,45.9,1.849
Blue Ridge Co.,Brand B,Food & Beverage,481.53,1108.61,119,493,131924.59,57302.07,74622.52,2023-01-15,1,Jan,1,2023,56.56,2.302
Junction LLC,Brand J,Sporting Goods,314.25,489.05,162,386,79226.1,50908.5,28317.6,2023-05-18,5,May,2,2023,35.74,1.556
Icon Wholesale,Brand I,Furniture,465.04,1132.68,191,81,216341.88,88822.64,127519.24,2023-12-19,12,Dec,4,2023,58.94,2.436
Junction LLC,Brand J,Health & Beauty,382.82,486.42,9,343,4377.78,3445.38,932.4,2023-12-10,12,Dec,4,2023,21.3,1.271
Eagle Exports,Brand E,Clothing,277.96,312.87,60,366,18772.2,16677.6,2094.6,2023-06-08,6,Jun,2,2023,11.16,1.126
Blue Ridge Co.,Brand B,Food & Beverage,98.35,232.68,125,485,29085.0,12293.75,16791.25,2023-09-18,9,Sep,3,2023,57.73,2.366
Delta Traders,Brand D,Sporting Goods,234.71,280.74,49,9,13756.26,11500.79,2255.47,2023-10-18,10,Oct,4,2023,16.4,1.196
Global Mart,Brand G,Sporting Goods,284.83,708.84,51,410,36150.84,14526.33,21624.51,2023-07-14,7,Jul,3,2023,59.82,2.489
Heritage Inc.,Brand H,Clothing,433.34,1053.86,188,11,198125.68,81467.92,116657.76,2023-04-19,4,Apr,2,2023,58.88,2.432
Cardinal Goods,Brand C,Office Supplies,245.85,317.6,70,262,22232.0,17209.5,5022.5,2023-10-25,10,Oct,4,2023,22.59,1.292
Apex Supplies,Brand A,Furniture,449.86,833.42,37,144,30836.54,16644.82,14191.72,2023-05-27,5,May,2,2023,46.02,1.853
Delta Traders,Brand D,Clothing,340.43,462.61,31,448,14340.91,10553.33,3787.58,2023-12-19,12,Dec,4,2023,26.41,1.359
Blue Ridge Co.,Brand B,Sporting Goods,77.13,131.08,169,191,22152.52,13034.97,9117.55,2023-07-15,7,Jul,3,2023,41.16,1.699
Heritage Inc.,Brand H,Electronics,497.54,590.08,62,249,36584.96,30847.48,5737.48,2023-06-28,6,Jun,2,2023,15.68,1.186
Delta Traders,Brand D,Food & Beverage,268.34,379.3,93,113,35274.9,24955.62,10319.28,2023-05-09,5,May,2,2023,29.25,1.414
Blue Ridge Co.,Brand B,Clothing,202.01,324.95,186,25,60440.7,37573.86,22866.84,2023-12-27,12,Dec,4,2023,37.83,1.609
FairWay Corp.,Brand F,Office Supplies,332.97,570.75,14,270,7990.5,4661.58,3328.92,2023-03-28,3,Mar,1,2023,41.66,1.714
FairWay Corp.,Brand F,Sporting Goods,63.36,156.4,164,498,25649.6,10391.04,15258.56,2023-04-18,4,Apr,2,2023,59.49,2.468
Junction LLC,Brand J,Furniture,321.9,718.16,164,32,117778.24,52791.6,64986.64,2023-01-03,1,Jan,1,2023,55.18,2.231
Delta Traders,Brand D,Sporting Goods,254.14,541.92,79,61,42811.68,20077.06,22734.62,2023-09-09,9,Sep,3,2023,53.1,2.132
FairWay Corp.,Brand F,Furniture,209.27,387.54,8,228,3100.32,1674.16,1426.16,2023-03-30,3,Mar,1,2023,46.0,1.852
Blue Ridge Co.,Brand B,Clothing,476.98,1085.6,154,302,167182.4,73454.92,93727.48,2023-12-05,12,Dec,4,2023,56.06,2.276
Junction LLC,Brand J,Furniture,266.04,419.03,36,94,15085.08,9577.44,5507.64,2023-05-09,5,May,2,2023,36.51,1.575
Blue Ridge Co.,Brand B,Health & Beauty,117.37,245.59,48,34,11788.32,5633.76,6154.56,2023-10-05,10,Oct,4,2023,52.21,2.092
Junction LLC,Brand J,Health & Beauty,234.89,585.18,85,192,49740.3,19965.65,29774.65,2023-07-31,7,Jul,3,2023,59.86,2.491
Delta Traders,Brand D,Health & Beauty,460.5,709.39,28,455,19862.92,12894.0,6968.92,2023-04-23,4,Apr,2,2023,35.09,1.54
Heritage Inc.,Brand H,Office Supplies,96.29,196.78,196,75,38568.88,18872.84,19696.04,2023-12-01,12,Dec,4,2023,51.07,2.044
Global Mart,Brand G,Office Supplies,114.84,262.07,190,378,49793.3,21819.6,27973.7,2023-07-05,7,Jul,3,2023,56.18,2.282
Icon Wholesale,Brand I,Electronics,16.38,39.02,51,248,1990.02,835.38,1154.64,2023-05-22,5,May,2,2023,58.02,2.382
Heritage Inc.,Brand H,Office Supplies,16.95,35.68,104,82,3710.72,1762.8,1947.92,2023-03-23,3,Mar,1,2023,52.49,2.105
Eagle Exports,Brand E,Clothing,416.4,623.37,170,24,105972.9,70788.0,35184.9,2023-02-22,2,Feb,1,2023,33.2,1.497
Blue Ridge Co.,Brand B,Sporting Goods,368.74,574.05,101,56,57979.05,37242.74,20736.31,2023-02-07,2,Feb,1,2023,35.77,1.557
Eagle Exports,Brand E,Sporting Goods,183.97,207.71,29,31,6023.59,5335.13,688.46,2023-09-30,9,Sep,3,2023,11.43,1.129
Heritage Inc.,Brand H,Electronics,352.17,762.53,127,318,96841.31,44725.59,52115.72,2023-03-17,3,Mar,1,2023,53.82,2.165
Junction LLC,Brand J,Office Supplies,203.65,236.2,82,11,19368.4,16699.3,2669.1,2023-05-04,5,May,2,2023,13.78,1.16
Icon Wholesale,Brand I,Furniture,476.92,1101.93,10,318,11019.3,4769.2,6250.1,2023-09-22,9,Sep,3,2023,56.72,2.311
Icon Wholesale,Brand I,Electronics,483.86,612.63,106,332,64938.78,51289.16,13649.62,2023-12-08,12,Dec,4,2023,21.02,1.266
Apex Supplies,Brand A,Furniture,202.47,271.44,167,91,45330.48,33812.49,11517.99,2023-09-11,9,Sep,3,2023,25.41,1.341
Icon Wholesale,Brand I,Furniture,428.57,757.34,1,0,757.34,428.57,328.77,2023-12-04,12,Dec,4,2023,43.41,1.767
Global Mart,Brand G,Food & Beverage,388.81,829.34,39,434,32344.26,15163.59,17180.67,2023-05-01,5,May,2,2023,53.12,2.133
Icon Wholesale,Brand I,Sporting Goods,161.9,209.6,21,325,4401.6,3399.9,1001.7,2023-12-29,12,Dec,4,2023,22.76,1.295
Heritage Inc.,Brand H,Health & Beauty,123.7,212.28,65,135,13798.2,8040.5,5757.7,2023-02-22,2,Feb,1,2023,41.73,1.716
Apex Supplies,Brand A,Office Supplies,234.53,416.52,15,195,6247.8,3517.95,2729.85,2023-09-22,9,Sep,3,2023,43.69,1.776
Heritage Inc.,Brand H,Furniture,392.86,548.9,132,132,72454.8,51857.52,20597.28,2023-08-24,8,Aug,3,2023,28.43,1.397
Heritage Inc.,Brand H,Food & Beverage,480.48,606.26,188,472,113976.88,90330.24,23646.64,2023-01-28,1,Jan,1,2023,20.75,1.262
Cardinal Goods,Brand C,Sporting Goods,384.15,872.4,61,85,53216.4,23433.15,29783.25,2023-11-14,11,Nov,4,2023,55.97,2.271
Apex Supplies,Brand A,Health & Beauty,429.05,773.77,148,475,114517.96,63499.4,51018.56,2023-08-21,8,Aug,3,2023,44.55,1.803
Heritage Inc.,Brand H,Furniture,305.5,342.2,138,294,47223.6,42159.0,5064.6,2023-09-08,9,Sep,3,2023,10.72,1.12
Cardinal Goods,Brand C,Furniture,419.35,932.71,87,278,81145.77,36483.45,44662.32,2023-09-12,9,Sep,3,2023,55.04,2.224
Cardinal Goods,Brand C,Electronics,394.37,975.32,105,323,102408.6,41408.85,60999.75,2023-11-02,11,Nov,4,2023,59.57,2.473
Apex Supplies,Brand A,Electronics,194.72,379.37,34,179,12898.58,6620.48,6278.1,2023-06-05,6,Jun,2,2023,48.67,1.948
Eagle Exports,Brand E,Sporting Goods,280.48,506.32,124,3,62783.68,34779.52,28004.16,2023-09-09,9,Sep,3,2023,44.6,1.805
Junction LLC,Brand J,Health & Beauty,404.33,942.0,110,125,103620.0,44476.3,59143.7,2023-04-21,4,Apr,2,2023,57.08,2.33
Global Mart,Brand G,Furniture,32.57,79.26,176,174,13949.76,5732.32,8217.44,2023-12-24,12,Dec,4,2023,58.91,2.434
Junction LLC,Brand J,Sporting Goods,405.96,875.39,33,250,28887.87,13396.68,15491.19,2023-03-09,3,Mar,1,2023,53.63,2.156
Icon Wholesale,Brand I,Sporting Goods,97.17,167.49,98,20,16414.02,9522.66,6891.36,2023-08-16,8,Aug,3,2023,41.98,1.724
Global Mart,Brand G,Clothing,262.19,505.79,61,484,30853.19,15993.59,14859.6,2023-05-09,5,May,2,2023,48.16,1.929
Icon Wholesale,Brand I,Office Supplies,406.05,845.12,10,439,8451.2,4060.5,4390.7,2023-08-30,8,Aug,3,2023,51.95,2.081
Heritage Inc.,Brand H,Electronics,134.37,184.35,182,104,33551.7,24455.34,9096.36,2023-05-31,5,May,2,2023,27.11,1.372
Blue Ridge Co.,Brand B,Health & Beauty,130.45,225.17,84,65,18914.28,10957.8,7956.48,2023-07-02,7,Jul,3,2023,42.07,1.726
Apex Supplies,Brand A,Furniture,207.35,468.97,65,442,30483.05,13477.75,17005.3,2023-09-15,9,Sep,3,2023,55.79,2.262
Global Mart,Brand G,Sporting Goods,448.37,904.19,77,262,69622.63,34524.49,35098.14,2023-03-10,3,Mar,1,2023,50.41,2.017
Global Mart,Brand G,Furniture,10.22,17.13,1,48,17.13,10.22,6.91,2023-06-26,6,Jun,2,2023,40.34,1.676
Heritage Inc.,Brand H,Clothing,451.68,916.33,133,15,121871.89,60073.44,61798.45,2023-01-22,1,Jan,1,2023,50.71,2.029
Eagle Exports,Brand E,Health & Beauty,85.37,108.04,80,144,8643.2,6829.6,1813.6,2023-07-07,7,Jul,3,2023,20.98,1.266
Cardinal Goods,Brand C,Sporting Goods,495.14,822.97,15,339,12344.55,7427.1,4917.45,2023-03-22,3,Mar,1,2023,39.83,1.662
Heritage Inc.,Brand H,Furniture,477.88,1056.3,28,249,29576.4,13380.64,16195.76,2023-09-08,9,Sep,3,2023,54.76,2.21
FairWay Corp.,Brand F,Electronics,252.39,355.54,23,342,8177.42,5804.97,2372.45,2023-05-18,5,May,2,2023,29.01,1.409
Cardinal Goods,Brand C,Office Supplies,261.23,355.36,109,353,38734.24,28474.07,10260.17,2023-10-11,10,Oct,4,2023,26.49,1.36
Apex Supplies,Brand A,Clothing,245.96,597.96,107,74,63981.72,26317.72,37664.0,2023-11-04,11,Nov,4,2023,58.87,2.431
Cardinal Goods,Brand C,Health & Beauty,321.37,447.94,145,289,64951.3,46598.65,18352.65,2023-04-27,4,Apr,2,2023,28.26,1.394
Eagle Exports,Brand E,Clothing,54.45,79.78,113,416,9015.14,6152.85,2862.29,2023-01-23,1,Jan,1,2023,31.75,1.465
Cardinal Goods,Brand C,Electronics,25.98,63.84,98,281,6256.32,2546.04,3710.28,2023-04-30,4,Apr,2,2023,59.3,2.457
Apex Supplies,Brand A,Health & Beauty,38.27,81.46,141,65,11485.86,5396.07,6089.79,2023-08-25,8,Aug,3,2023,53.02,2.129
Eagle Exports,Brand E,Clothing,227.74,473.57,142,124,67246.94,32339.08,34907.86,2023-05-30,5,May,2,2023,51.91,2.079
Junction LLC,Brand J,Food & Beverage,145.02,332.69,139,318,46243.91,20157.78,26086.13,2023-09-16,9,Sep,3,2023,56.41,2.294
Global Mart,Brand G,Electronics,314.8,397.33,28,86,11125.24,8814.4,2310.84,2023-05-01,5,May,2,2023,20.77,1.262
Global Mart,Brand G,Electronics,496.3,1036.44,42,40,43530.48,20844.6,22685.88,2023-03-07,3,Mar,1,2023,52.11,2.088
Icon Wholesale,Brand I,Electronics,199.3,359.77,99,469,35617.23,19730.7,15886.53,2023-04-24,4,Apr,2,2023,44.6,1.805
Junction LLC,Brand J,Food & Beverage,291.18,658.3,61,185,40156.3,17761.98,22394.32,2023-09-29,9,Sep,3,2023,55.77,2.261
Junction LLC,Brand J,Food & Beverage,213.65,387.01,123,353,47602.23,26278.95,21323.28,2023-10-28,10,Oct,4,2023,44.79,1.811
Cardinal Goods,Brand C,Furniture,425.16,836.86,64,379,53559.04,27210.24,26348.8,2023-11-10,11,Nov,4,2023,49.2,1.968
Global Mart,Brand G,Sporting Goods,452.1,799.69,31,334,24790.39,14015.1,10775.29,2023-07-16,7,Jul,3,2023,43.47,1.769
Apex Supplies,Brand A,Office Supplies,439.9,778.37,81,265,63047.97,35631.9,27416.07,2023-08-20,8,Aug,3,2023,43.48,1.769
Delta Traders,Brand D,Clothing,487.44,1060.26,10,270,10602.6,4874.4,5728.2,2023-12-16,12,Dec,4,2023,54.03,2.175
Delta Traders,Brand D,Furniture,23.48,46.49,8,41,371.92,187.84,184.08,2023-06-17,6,Jun,2,2023,49.49,1.98
Eagle Exports,Brand E,Clothing,421.51,837.36,149,92,124766.64,62804.99,61961.65,2023-08-02,8,Aug,3,2023,49.66,1.987
Global Mart,Brand G,Office Supplies,378.37,654.73,59,184,38629.07,22323.83,16305.24,2023-03-24,3,Mar,1,2023,42.21,1.73
Global Mart,Brand G,Sporting Goods,122.06,225.02,178,214,40053.56,21726.68,18326.88,2023-08-04,8,Aug,3,2023,45.76,1.844
Delta Traders,Brand D,Food & Beverage,478.6,1026.12,197,16,202145.64,94284.2,107861.44,2023-01-22,1,Jan,1,2023,53.36,2.144
Global Mart,Brand G,Sporting Goods,82.61,186.39,198,443,36905.22,16356.78,20548.44,2023-04-16,4,Apr,2,2023,55.68,2.256
Cardinal Goods,Brand C,Food & Beverage,342.98,711.75,30,264,21352.5,10289.4,11063.1,2023-12-21,12,Dec,4,2023,51.81,2.075
FairWay Corp.,Brand F,Office Supplies,120.2,287.72,145,113,41719.4,17429.0,24290.4,2023-09-08,9,Sep,3,2023,58.22,2.394
Blue Ridge Co.,Brand B,Sporting Goods,221.38,497.76,20,291,9955.2,4427.6,5527.6,2023-01-18,1,Jan,1,2023,55.52,2.248
Junction LLC,Brand J,Furniture,362.39,683.69,48,456,32817.12,17394.72,15422.4,2023-08-05,8,Aug,3,2023,46.99,1.887
Icon Wholesale,Brand I,Health & Beauty,286.03,583.49,130,463,75853.7,37183.9,38669.8,2023-11-30,11,Nov,4,2023,50.98,2.04
Eagle Exports,Brand E,Furniture,219.48,526.06,37,291,19464.22,8120.76,11343.46,2023-11-04,11,Nov,4,2023,58.28,2.397
FairWay Corp.,Brand F,Clothing,169.91,334.18,129,47,43109.22,21918.39,21190.83,2023-12-05,12,Dec,4,2023,49.16,1.967
Delta Traders,Brand D,Furniture,421.43,950.21,132,306,125427.72,55628.76,69798.96,2023-12-31,12,Dec,4,2023,55.65,2.255
Junction LLC,Brand J,Office Supplies,80.47,166.12,100,96,16612.0,8047.0,8565.0,2023-04-04,4,Apr,2,2023,51.56,2.064
Global Mart,Brand G,Electronics,220.75,413.4,54,374,22323.6,11920.5,10403.1,2023-05-01,5,May,2,2023,46.6,1.873
Icon Wholesale,Brand I,Clothing,452.84,651.44,122,94,79475.68,55246.48,24229.2,2023-03-14,3,Mar,1,2023,30.49,1.439
Global Mart,Brand G,Sporting Goods,424.47,720.07,25,325,18001.75,10611.75,7390.0,2023-03-08,3,Mar,1,2023,41.05,1.696
Apex Supplies,Brand A,Clothing,206.46,506.83,131,73,66394.73,27046.26,39348.47,2023-10-19,10,Oct,4,2023,59.26,2.455
Apex Supplies,Brand A,Health & Beauty,383.92,775.85,9,335,6982.65,3455.28,3527.37,2023-09-03,9,Sep,3,2023,50.52,2.021
Icon Wholesale,Brand I,Food & Beverage,413.35,781.29,34,67,26563.86,14053.9,12509.96,2023-04-16,4,Apr,2,2023,47.09,1.89
Icon Wholesale,Brand I,Sporting Goods,445.55,1072.06,43,245,46098.58,19158.65,26939.93,2023-10-29,10,Oct,4,2023,58.44,2.406
Delta Traders,Brand D,Clothing,276.81,531.78,74,405,39351.72,20483.94,18867.78,2023-04-23,4,Apr,2,2023,47.95,1.921
Icon Wholesale,Brand I,Sporting Goods,110.19,202.37,94,76,19022.78,10357.86,8664.92,2023-05-31,5,May,2,2023,45.55,1.837
Cardinal Goods,Brand C,Sporting Goods,135.1,292.23,22,207,6429.06,2972.2,3456.86,2023-02-14,2,Feb,1,2023,53.77,2.163
Global Mart,Brand G,Sporting Goods,154.89,324.92,70,371,22744.4,10842.3,11902.1,2023-03-20,3,Mar,1,2023,52.33,2.098
FairWay Corp.,Brand F,Food & Beverage,300.96,412.44,130,253,53617.2,39124.8,14492.4,2023-07-23,7,Jul,3,2023,27.03,1.37
Heritage Inc.,Brand H,Office Supplies,26.08,45.9,94,220,4314.6,2451.52,1863.08,2023-08-24,8,Aug,3,2023,43.18,1.76
Icon Wholesale,Brand I,Furniture,321.66,566.61,194,261,109922.34,62402.04,47520.3,2023-04-22,4,Apr,2,2023,43.23,1.762
Eagle Exports,Brand E,Sporting Goods,188.53,307.21,32,409,9830.72,6032.96,3797.76,2023-06-21,6,Jun,2,2023,38.63,1.63
Apex Supplies,Brand A,Electronics,154.67,282.15,106,330,29907.9,16395.02,13512.88,2023-06-25,6,Jun,2,2023,45.18,1.824
Cardinal Goods,Brand C,Office Supplies,440.95,740.07,144,343,106570.08,63496.8,43073.28,2023-04-24,4,Apr,2,2023,40.42,1.678
Junction LLC,Brand J,Health & Beauty,235.4,324.64,1,476,324.64,235.4,89.24,2023-02-28,2,Feb,1,2023,27.49,1.379
Heritage Inc.,Brand H,Food & Beverage,56.58,94.9,72,258,6832.8,4073.76,2759.04,2023-12-21,12,Dec,4,2023,40.38,1.677
FairWay Corp.,Brand F,Clothing,415.11,498.63,176,307,87758.88,73059.36,14699.52,2023-12-01,12,Dec,4,2023,16.75,1.201
Heritage Inc.,Brand H,Food & Beverage,33.34,63.55,50,73,3177.5,1667.0,1510.5,2023-06-05,6,Jun,2,2023,47.54,1.906
Icon Wholesale,Brand I,Clothing,366.11,840.27,141,124,118478.07,51621.51,66856.56,2023-01-12,1,Jan,1,2023,56.43,2.295
Delta Traders,Brand D,Food & Beverage,389.21,823.34,15,187,12350.1,5838.15,6511.95,2023-02-24,2,Feb,1,2023,52.73,2.115
Apex Supplies,Brand A,Clothing,182.78,293.28,53,253,15543.84,9687.34,5856.5,2023-03-15,3,Mar,1,2023,37.68,1.605
Apex Supplies,Brand A,Sporting Goods,414.15,506.05,172,446,87040.6,71233.8,15806.8,2023-06-23,6,Jun,2,2023,18.16,1.222
Junction LLC,Brand J,Furniture,262.67,363.28,8,320,2906.24,2101.36,804.88,2023-11-01,11,Nov,4,2023,27.69,1.383
Delta Traders,Brand D,Clothing,237.01,441.71,74,307,32686.54,17538.74,15147.8,2023-10-17,10,Oct,4,2023,46.34,1.864
Global Mart,Brand G,Clothing,32.25,44.82,46,234,2061.72,1483.5,578.22,2023-10-27,10,Oct,4,2023,28.05,1.39
Blue Ridge Co.,Brand B,Electronics,152.11,283.16,69,473,19538.04,10495.59,9042.45,2023-08-30,8,Aug,3,2023,46.28,1.862
Cardinal Goods,Brand C,Clothing,466.19,663.97,114,249,75692.58,53145.66,22546.92,2023-11-23,11,Nov,4,2023,29.79,1.424
Apex Supplies,Brand A,Electronics,201.99,462.25,147,331,67950.75,29692.53,38258.22,2023-02-15,2,Feb,1,2023,56.3,2.288
Eagle Exports,Brand E,Health & Beauty,277.88,460.22,166,397,76396.52,46128.08,30268.44,2023-11-16,11,Nov,4,2023,39.62,1.656
Apex Supplies,Brand A,Sporting Goods,270.69,390.81,123,344,48069.63,33294.87,14774.76,2023-03-28,3,Mar,1,2023,30.74,1.444
Heritage Inc.,Brand H,Electronics,299.31,669.63,139,71,93078.57,41604.09,51474.48,2023-09-11,9,Sep,3,2023,55.3,2.237
Apex Supplies,Brand A,Furniture,40.05,63.28,117,234,7403.76,4685.85,2717.91,2023-11-06,11,Nov,4,2023,36.71,1.58
Apex Supplies,Brand A,Office Supplies,187.47,235.48,43,323,10125.64,8061.21,2064.43,2023-12-24,12,Dec,4,2023,20.39,1.256
Blue Ridge Co.,Brand B,Sporting Goods,364.33,691.71,20,155,13834.2,7286.6,6547.6,2023-01-29,1,Jan,1,2023,47.33,1.899
Blue Ridge Co.,Brand B,Electronics,108.27,207.25,148,454,30673.0,16023.96,14649.04,2023-06-24,6,Jun,2,2023,47.76,1.914
FairWay Corp.,Brand F,Sporting Goods,109.75,230.54,21,393,4841.34,2304.75,2536.59,2023-08-05,8,Aug,3,2023,52.39,2.101
Global Mart,Brand G,Sporting Goods,14.94,21.46,82,114,1759.72,1225.08,534.64,2023-02-07,2,Feb,1,2023,30.38,1.436
Eagle Exports,Brand E,Sporting Goods,224.37,386.2,57,312,22013.4,12789.09,9224.31,2023-08-23,8,Aug,3,2023,41.9,1.721
Apex Supplies,Brand A,Health & Beauty,442.54,661.74,178,227,117789.72,78772.12,39017.6,2023-07-31,7,Jul,3,2023,33.12,1.495
Apex Supplies,Brand A,Furniture,35.43,42.99,74,321,3181.26,2621.82,559.44,2023-09-11,9,Sep,3,2023,17.59,1.213
Cardinal Goods,Brand C,Food & Beverage,103.65,241.22,98,345,23639.56,10157.7,13481.86,2023-09-24,9,Sep,3,2023,57.03,2.327
Blue Ridge Co.,Brand B,Food & Beverage,161.94,343.38,154,244,52880.52,24938.76,27941.76,2023-06-06,6,Jun,2,2023,52.84,2.12
Eagle Exports,Brand E,Electronics,368.55,560.95,158,305,88630.1,58230.9,30399.2,2023-05-19,5,May,2,2023,34.3,1.522
Junction LLC,Brand J,Sporting Goods,323.91,628.1,110,13,69091.0,35630.1,33460.9,2023-10-17,10,Oct,4,2023,48.43,1.939
FairWay Corp.,Brand F,Electronics,213.81,295.44,115,15,33975.6,24588.15,9387.45,2023-12-20,12,Dec,4,2023,27.63,1.382
Global Mart,Brand G,Health & Beauty,381.94,896.16,159,437,142489.44,60728.46,81760.98,2023-05-12,5,May,2,2023,57.38,2.346
